Quote,Source
"A woman does not commit herself to submit to her husband if he makes no mistakes. She submits to her husband because she knows that God does not
make mistakes!",Trad wife
"Because the husband is responsible for the decisions of the family, a wife must maintain an attitude of respect and
submission.",Trad wife
"When I got married, I became a better human being, I became feminine and also — shocking — submissive.",Trad wife
"When women fall, men and families are doomed. Nations cannot stand for long without strong families. ",Trad wife
"Being a wife is the most important job. You need a man to hire you for it, but that’s OK. Because if you think about it, you submit to your boss who makes you perform chores? Wouldn’t it be better if you were cleaning your own shelves at home? And your boss wants to sleep with you, in a good way.",Trad wife
Protect femininity the way God created it to be.,Trad wife
"feminism is a socialist, anti-family, political movement that encourages women to leave their husbands, kill their children, practice witchcraft, destroy capitalism and become lesbians",Pilgram
"A wife should have share her husband's seriousness and sport, his anxiety and his laughter.",Pilgram
"Woman needs a religion of weakness that glorifies being weak, loving, being humbled as divine.",Pilgram
"The whole education of women ought to be relative to men. To please them, to be useful to them, to make themselves loved and honored by them, to educate them when young, to care for them when grown, to council them, to console them, and to make life agreeable and sweet to them -- these are the duties of women at all times, and should be taught them from their infancy.",Pilgram
"For years, we have gotten the message from the mouthpieces of the popular culture that you can have it all, career, kids and a two-car garage. Sure, you can have it all, but your day-care kids get the short end of the emotional stick.",Republican
Societal collapse is always brought about following an advent of the deterioration of marriage and family.,Republican
"People who don’t have kids — whether by choice or, I guess, because they can’t — should face the consequences and reality of their childless status, because if you don’t have as much of an investment in the future of this country..",Republican